name	SL021	SL036	SL037	SL038	SL048	SL050	SL068	SL085	SL086	SL088	SL090	SL103	SL111	SL112	SL114	SL118	SL125	SL200
Neisseria_macacae	5313	3451	8045	6462	2739	8383	21456	3864	6894	3944	7957	5007	430	2133	4362	9297	7801	15376
Neisseria_subflava	4430	625	11022	5000	3968	1952	5163	8895	7433	5021	12561	2331	4962	2785	7413	21587	21113	6320
Neisseria_elongata	3211	568	3807	2678	1019	1566	4170	5946	2630	1441	1342	1843	278	2927	940	8236	9159	3431
Neisseria_meningitidis	1866	527	2138	1547	668	1682	2026	2628	1327	1763	1862	932	664	1261	1208	3416	2825	1918
Neisseria_cinerea	1093	276	666	1275	103	403	358	2848	225	348	522	495	108	858	380	2172	605	365
Neisseria_flavescens	859	90	1507	351	288	248	396	1667	568	397	630	170	365	384	528	1742	1641	491
Neisseria_lactamica	433	232	727	395	180	1154	504	952	412	555	496	298	89	426	294	1024	932	546
Neisseria_gonorrhoeae	294	106	439	215	176	667	387	464	230	1184	361	148	120	218	169	948	600	315
Neisseria_bacilliformis	187	141	149	130	166	182	164	179	260	90	130	256	27	76	171	796	194	1149
Neisseria_perflava	492	132	1160	822	348	258	676	1093	613	975	2284	334	1275	424	1131	3175	3489	803
Neisseria_chenwenguii	69	67	109	73	40	124	103	78	79	93	98	77	30	48	48	253	172	110
Neisseria_brasiliensis	66	27	61	55	26	63	76	62	43	56	72	47	18	42	42	151	111	57
Neisseria_animalis	63	37	85	61	25	48	138	63	52	59	80	72	21	57	52	137	123	107
Neisseria_dentiae	51	44	69	61	24	58	47	51	73	68	23	84	16	25	49	201	85	73
Neisseria_lisongii	51	25	76	54	25	82	87	86	72	78	70	72	14	58	36	146	111	77
Neisseria_yangbaofengii	46	26	60	32	14	53	71	52	36	47	78	34	18	210	33	98	101	75
Neisseria_musculi	45	29	48	28	24	37	54	73	55	28	38	59	11	51	34	107	104	44
Neisseria_canis	37	9	28	27	17	26	39	35	29	38	21	34	4	16	13	72	42	68
Neisseria_animaloris	32	22	52	37	21	22	47	38	24	42	55	39	12	36	30	114	78	37
Neisseria_weaveri	30	16	36	24	14	33	40	28	22	27	37	23	15	20	21	127	191	41
Neisseria_wadsworthii	29	12	32	28	9	36	45	47	23	54	17	33	5	21	13	56	21	36
Neisseria_shayeganii	28	37	22	34	13	21	33	42	53	15	19	70	6	17	22	172	41	62
Neisseria_zalophi	24	14	51	33	20	41	45	44	27	29	28	29	13	24	20	70	55	50
Neisseria_weixii	22	17	61	49	8	26	56	58	43	34	37	43	23	41	21	107	99	52
Neisseria_dumasiana	17	13	36	17	39	17	22	24	22	70	28	22	9	31	21	55	32	40
Neisseria_zoodegmatis	13	6	26	16	9	10	23	17	12	16	19	17	4	20	9	40	35	14
Neisseria_arctica	11	12	31	25	12	14	31	32	13	12	17	25	7	15	20	54	32	49
Kingella	7010	2821	6076	3514	4054	2401	2274	4348	4947	1194	7010	7954	869	2534	6925	7707	1967	4037
Kingella_denitrificans	4813	708	4208	2319	2300	213	1097	2946	2089	94	2906	4180	345	1012	2484	6121	864	2747
Kingella_oralis	2093	2056	1924	1098	1676	2099	1100	946	2733	1001	4103	3495	500	1430	4451	1065	1098	1047
Kingella_potus	36	39	24	35	22	15	34	19	62	4	12	92	6	10	28	184	14	53
Kingella_kingae	35	45	27	26	20	4	21	424	44	7	11	111	5	6	39	587	6	36
Kingella_negevensis	32	40	34	46	31	20	26	39	31	10	17	131	3	7	30	53	16	56
Morococcus	3470	942	4903	1099	1485	7965	3036	1426	3436	4247	4570	654	207	2038	502	2736	8916	3001
Morococcus_cerebrosus	3470	969	4905	1075	1486	8007	2979	1405	3410	4202	4552	636	204	2048	515	2667	8819	2970
Eikenella	1530	501	666	1042	472	201	671	433	598	210	262	1216	81	930	518	3902	701	2041
Eikenella_corrodens	1381	443	583	922	434	178	633	359	518	176	230	1041	73	837	466	3492	611	1831
Eikenella_exigua	148	54	92	100	46	38	55	57	89	26	20	122	10	91	66	389	128	200
Uruburuella	40	28	18	22	21	8	26	27	37	13	14	61	5	7	12	100	22	45
Uruburuella_testudinis	22	10	10	12	9	8	13	12	14	5	6	29	4	6	3	47	9	23
Uruburuella_suis	18	16	7	14	11	1	8	10	19	8	3	23	1	3	8	62	11	18
Alysiella	34	41	18	22	23	15	18	23	48	6	8	86	2	1	25	53	3	36
Alysiella_filiformis	24	22	9	16	9	5	11	6	20	7	7	51	3	1	11	23	0	20
Alysiella_crassa	9	16	6	8	8	11	12	12	13	0	6	42	0	1	13	24	3	14
Simonsiella	22	15	7	11	14	8	6	484	15	5	8	27	2	1	145	58	13	13
Simonsiella_muelleri	22	17	11	15	13	11	4	448	12	4	4	23	2	4	151	76	15	8
Conchiformibius	22	16	12	28	12	4	18	6	15	2	6	49	2	3	12	53	7	27
Conchiformibius_steedae	22	19	13	23	8	3	22	5	26	4	5	55	1	4	9	48	5	29
Wielerella	19	38	22	22	15	10	9	14	30	10	10	89	1	5	23	31	9	30
Wielerella_bovis	19	41	23	25	20	6	10	15	29	4	15	70	3	4	29	36	12	35
Vitreoscilla	10	7	5	7	6	3	6	5	9	7	3	13	1	2	3	15	0	9
Vitreoscilla_massiliensis	7	3	2	4	2	2	2	6	7	3	3	9	2	1	3	10	0	5
Vitreoscilla_filiformis	3	4	3	4	0	0	2	1	0	0	1	2	1	2	1	5	0	4
Paralysiella	7	9	15	10	7	3	14	9	13	3	7	27	1	9	8	36	8	11
Paralysiella_testudinis	7	6	5	9	4	2	12	6	19	2	7	29	1	6	4	50	9	14
Crenobacter	3	0	1	3	1	0	0	2	1	0	0	2	0	0	0	4	2	0
Crenobacter_cavernae	3	0	1	2	0	0	0	1	2	0	0	3	0	1	0	3	1	1
Snodgrassella	2	1	6	7	6	2	13	2	8	5	0	5	1	3	7	7	4	4
Snodgrassella_alvi	2	2	7	7	3	0	11	3	3	3	2	2	1	1	1	4	5	3
Chromobacteriaceae	39	21	19	38	19	31	20	16	28	11	3	51	5	10	25	94	6	14
Chromobacterium	18	13	5	15	9	15	12	8	15	3	1	22	4	9	13	61	3	9
unclassified_Chromobacterium	6	4	2	1	0	3	2	5	1	1	1	5	0	0	2	20	3	2
Chromobacterium_sp._ATCC_53434	4	1	1	0	0	1	2	1	1	0	0	1	0	0	0	4	1	2
Chromobacterium_sp._IIBBL_290-4	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	5	0	1
Chromobacterium_violaceum	5	1	1	3	0	2	2	3	0	0	0	3	0	0	2	10	0	0
Chromobacterium_paludis	2	1	0	1	0	2	2	2	1	0	0	0	1	2	2	7	1	1
Chromobacterium_phragmitis	2	0	0	6	1	1	2	1	1	0	0	1	0	0	1	3	0	2
Chromobacterium_vaccinii	2	3	0	3	1	0	0	0	2	0	0	1	1	0	1	3	0	0
Vogesella	9	3	2	8	3	2	1	1	4	0	1	5	0	1	4	10	1	2
unclassified_Vogesella	9	5	2	8	3	2	2	0	2	0	0	7	0	1	6	9	1	2
Vogesella_sp._LIG4	5	3	1	1	4	0	1	0	1	1	1	1	0	1	4	14	0	1
Vogesella_sp._XCS3	3	2	1	2	1	1	1	1	4	0	0	6	0	0	2	4	0	2
Paludibacterium	4	2	2	5	0	0	3	0	2	1	0	6	4	0	2	10	2	1
unclassified_Paludibacterium	4	0	1	1	1	0	0	0	2	0	1	3	2	0	0	2	0	1
Paludibacterium_sp._B53371	4	0	1	1	0	0	0	0	1	0	0	5	0	0	0	2	1	0
Aquitalea	4	3	5	5	6	8	3	3	6	3	1	7	0	1	8	17	1	3
Aquitalea_denitrificans	2	1	0	1	0	3	1	1	0	1	0	0	0	0	2	2	1	1
unclassified_Aquitalea	1	2	2	4	0	3	1	0	8	2	0	3	0	0	2	5	0	5
Aquitalea_sp._USM4	1	0	1	2	2	2	1	0	5	2	1	3	0	1	1	6	0	2
Pseudogulbenkiania	2	0	0	2	1	2	1	2	1	0	0	0	0	1	2	7	0	0
unclassified_Pseudogulbenkiania	2	1	1	2	0	0	1	3	1	1	0	1	0	0	1	8	0	0
Pseudogulbenkiania_sp._NH8B	2	1	0	2	1	0	1	1	1	1	0	0	0	1	2	12	0	1
Chitinibacteraceae	14	10	2	21	12	19	25	2	20	6	2	8	5	3	6	46	5	17
Jeongeupia	8	3	0	6	2	7	2	0	3	1	0	3	3	1	0	14	1	2
unclassified_Jeongeupia	8	1	0	7	2	6	2	0	2	0	1	3	1	2	1	18	0	3
Jeongeupia_sp._USM3	4	1	0	5	1	5	0	1	1	0	0	1	2	2	0	5	1	3
Jeongeupia_sp._HS-3	4	3	0	1	1	0	3	0	0	1	0	2	0	1	0	1	0	0
Chitinimonas	3	2	0	6	6	7	14	0	2	1	2	1	0	1	3	17	1	0
Chitinimonas_koreensis	2	2	1	7	4	4	12	0	4	1	1	0	0	3	0	11	0	0
Chitinimonas_arctica	1	0	0	0	1	0	1	0	0	0	0	2	0	0	2	6	2	0
Chitiniphilus	1	2	0	1	0	2	3	0	1	1	0	5	1	1	1	11	0	0
unclassified_Chitiniphilus	1	1	0	1	1	1	6	0	0	2	2	6	1	1	1	8	1	0
Chitiniphilus_sp._CD1	1	1	0	2	2	0	3	0	2	2	1	4	2	0	1	4	1	1
Iodobacter	1	2	0	1	1	0	2	0	1	0	0	2	0	0	0	2	1	4
Iodobacter_ciconiae	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	5
Chitinolyticbacter	1	0	0	4	1	0	1	0	1	1	1	0	0	1	3	3	2	1
Chitinolyticbacter_meiyuanensis	1	2	0	4	2	0	1	0	2	1	1	3	0	3	1	2	0	2
Aquaspirillaceae	4	5	1	12	2	2	6	4	8	2	1	6	2	7	3	16	2	2
Microvirgula	2	0	2	0	0	0	2	1	1	1	0	2	0	1	2	6	0	1
Microvirgula_aerodenitrificans	2	1	1	1	1	0	1	1	2	0	0	2	0	1	3	8	0	1
Laribacter	1	1	1	5	2	0	0	3	6	0	0	2	0	6	0	3	0	1
Laribacter_hongkongensis	1	3	1	4	1	1	1	1	5	0	0	0	0	2	0	9	0	1
Aquaspirillum	1	3	4	6	1	1	5	2	4	1	1	4	0	7	0	10	2	1
unclassified_Aquaspirillum	1	1	5	6	1	1	3	3	5	2	1	6	1	6	1	6	2	2
Aquaspirillum_sp._LM1	1	4	1	5	2	1	5	0	4	3	1	1	1	9	0	5	0	2
Burkholderiales	10065	11865	12629	13698	14835	10241	16704	7297	46640	27567	6758	13295	5982	65065	10447	38380	29470	20206
Burkholderiaceae	8911	10600	12225	12932	14229	9697	16130	7075	43289	27203	6658	12989	5590	63712	9936	33843	28788	19668
Lautropia	8364	10289	11737	12307	13467	9134	15601	6802	42624	26670	6323	12677	5156	62945	9618	32761	28662	19185
Lautropia_mirabilis	8364	10177	11860	12437	13337	9131	15645	6787	42830	26497	6457	12644	5237	63439	9748	33528	28668	19247
Burkholderia	263	154	346	339	505	335	285	143	384	554	294	237	363	602	184	511	355	466
Burkholderia_cepacia_complex	221	117	340	291	474	339	274	139	340	536	286	209	306	557	172	425	336	509
Burkholderia_multivorans	176	71	301	258	453	285	213	129	300	522	304	191	299	532	147	336	314	463
Burkholderia_ubonensis	7	6	0	1	0	1	0	0	3	0	0	0	2	1	3	2	2	4
Burkholderia_cenocepacia	10	10	1	2	0	3	1	2	0	0	2	2	4	0	8	5	2	0
Burkholderia_contaminans	4	1	2	1	1	0	1	2	3	1	0	2	1	1	1	8	0	0
Burkholderia_lata	4	0	0	0	0	1	0	0	4	0	1	0	0	0	1	0	0	2
Burkholderia_pyrrocinia	4	1	2	4	1	1	1	2	2	1	1	0	0	3	1	5	0	1
Burkholderia_cepacia	2	2	0	10	1	6	34	1	2	2	0	1	1	3	2	5	1	7
Burkholderia_anthina	2	2	0	0	0	3	1	0	7	0	0	0	0	2	1	2	0	0
Burkholderia_dolosa	2	0	0	9	1	0	0	1	2	0	0	0	0	4	0	0	0	1
Burkholderia_diffusa	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_territorii	2	0	0	2	0	0	2	0	3	0	0	1	0	0	0	2	0	0
Burkholderia_arboris	1	3	0	2	1	1	0	0	1	0	0	1	0	0	0	1	0	0
Burkholderia_stagnalis	1	0	0	1	1	1	3	1	0	0	0	0	1	0	1	0	0	0
Burkholderia_latens	1	1	0	4	0	1	0	0	1	0	0	0	0	0	2	1	0	2
unclassified_Burkholderia	21	20	3	12	1	5	6	5	17	4	6	2	4	4	11	17	2	5
Burkholderia_sp._MSMB0856	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
Burkholderia_sp._PAMC_26561	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Burkholderia_sp._FERM_BP-3421	2	1	0	2	0	0	0	1	2	0	0	0	0	0	0	5	0	0
Burkholderia_sp._MS455	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	2
Burkholderia_sp._NRF60-BP8	1	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0
Burkholderia_sp._MSMB1588	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_sp._PAMC_28687	1	1	0	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0
Burkholderia_sp._MS389	2	12	4	3	1	2	0	0	6	0	0	0	0	6	2	6	1	4
Burkholderia_sp._S-53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_sp._Bp7605	1	0	1	1	1	2	0	1	0	0	0	0	0	0	0	1	1	0
pseudomallei_group	12	4	8	10	14	5	9	13	12	5	3	6	4	19	5	22	6	2
Burkholderia_pseudomallei	6	4	2	10	5	3	3	1	8	7	0	4	4	24	6	11	1	4
Burkholderia_thailandensis	4	3	0	0	4	0	6	1	2	0	1	1	0	4	1	0	2	0
Burkholderia_mayonis	1	0	0	0	1	0	0	2	1	1	0	0	0	1	0	3	1	0
Burkholderia_gladioli	3	3	0	8	9	3	2	6	6	9	0	5	4	1	1	6	6	2
Burkholderia_glumae	3	0	2	1	0	2	1	1	0	2	0	2	2	3	1	2	0	2
Burkholderia_perseverans	1	0	0	1	0	0	2	0	3	0	0	1	2	1	0	0	0	0
Cupriavidus	114	29	23	65	52	34	50	45	69	28	12	23	23	44	46	157	45	35
unclassified_Cupriavidus	14	2	7	15	5	12	12	7	15	9	0	7	2	15	12	16	2	10
Cupriavidus_sp._WKF15	3	1	2	2	1	1	2	1	4	3	0	3	2	3	0	5	0	1
Cupriavidus_sp._EM10	2	1	6	6	1	2	2	2	1	5	0	1	0	0	1	5	1	3
Cupriavidus_sp._P-10	2	1	2	3	2	2	1	1	2	1	0	0	1	2	2	0	3	1
Cupriavidus_sp._KK10	2	0	0	1	0	0	0	0	5	0	0	1	1	1	3	2	0	0
Cupriavidus_sp._USMAA2-4	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus_necator	16	6	0	12	5	5	4	1	8	0	0	2	3	3	1	7	0	6
Cupriavidus_taiwanensis	15	7	5	16	8	10	10	28	11	2	1	7	8	10	3	25	2	5
Cupriavidus_oxalaticus	13	1	0	4	7	9	6	2	5	3	0	3	0	0	2	32	1	0
Cupriavidus_gilardii	9	2	1	9	0	2	5	1	5	0	0	0	0	7	2	8	1	0
Cupriavidus_pauculus	5	2	1	4	9	0	0	0	4	1	3	4	1	8	8	15	3	5
Cupriavidus_pinatubonensis	4	1	2	3	2	0	2	0	3	0	0	0	0	0	1	1	1	2
Cupriavidus_basilensis	5	2	3	6	0	1	4	1	5	2	0	0	1	0	5	11	0	0
Cupriavidus_cauae	3	0	1	1	1	0	1	0	2	1	7	0	0	1	7	1	36	1
Cupriavidus_nantongensis	4	0	1	0	1	0	2	0	0	0	0	0	0	1	0	5	0	3
Cupriavidus_malaysiensis	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0
Cupriavidus_campinensis	3	3	0	3	1	1	3	2	1	1	1	0	0	2	0	10	1	1
Cupriavidus_metallidurans	3	2	3	2	0	3	0	0	5	1	0	0	2	3	0	5	0	0
Cupriavidus_neocaledonicus	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0
Paraburkholderia	64	29	15	46	16	41	41	22	50	21	8	24	14	37	33	100	12	33
unclassified_Paraburkholderia	11	3	1	7	5	16	4	1	7	3	1	2	0	3	11	15	4	3
Paraburkholderia_sp._D15	5	0	0	2	0	1	1	0	2	0	0	0	0	1	2	4	0	1
Paraburkholderia_sp._SOS3	2	1	0	1	0	0	0	0	0	1	0	1	0	0	1	2	1	0
Paraburkholderia_sp._SUR17	1	0	1	2	0	8	1	1	3	2	0	1	0	1	5	6	0	1
Paraburkholderia_sp._PGU16	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0
Paraburkholderia_phenoliruptrix	4	3	0	2	1	3	0	1	2	1	0	2	0	0	0	20	0	1
Paraburkholderia_caffeinilytica	4	1	0	1	1	0	2	0	0	0	1	0	0	0	3	0	0	4
Paraburkholderia_pallida	4	1	1	2	1	0	2	1	2	1	0	0	1	11	2	3	1	1
Paraburkholderia_megapolitana	3	0	1	1	0	1	0	1	1	0	0	0	0	1	0	3	0	1
Paraburkholderia_edwinii	3	0	0	4	0	2	2	0	2	0	1	0	2	0	0	1	0	1
Paraburkholderia_hospita	4	0	0	1	2	0	0	0	3	0	0	1	0	3	3	6	0	0
Paraburkholderia_fungorum	2	5	0	2	0	0	6	5	2	1	1	2	3	4	1	3	0	5
Paraburkholderia_tropica	2	0	0	1	0	1	1	1	0	0	0	1	1	0	2	1	0	1
Paraburkholderia_sabiae	2	0	1	2	2	1	2	2	3	0	0	4	0	7	1	6	2	0
Paraburkholderia_sprentiae	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1
Paraburkholderia_aromaticivorans	2	3	0	0	3	1	1	0	7	0	0	4	2	0	0	1	0	1
Paraburkholderia_dokdonensis	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	4
Paraburkholderia_acidiphila	2	1	0	3	4	3	1	0	0	3	0	1	0	0	0	1	0	0
Paraburkholderia_acidisoli	2	2	0	0	1	2	1	2	3	1	1	1	0	1	0	4	0	0
Paraburkholderia_bryophila	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	0
Paraburkholderia_kirstenboschensis	1	1	1	0	0	0	0	1	1	1	1	0	1	3	1	1	1	0
Paraburkholderia_terricola	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	0	1
Paraburkholderia_caribensis	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0
Paraburkholderia_graminis	1	0	0	0	0	1	2	0	1	0	0	1	1	0	0	2	0	1
Paraburkholderia_ginsengisoli	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	5	0	0
Ralstonia	47	22	5	24	16	16	21	10	21	11	5	9	7	42	9	50	4	14
Ralstonia_pseudosolanacearum	25	3	3	11	7	6	5	4	7	2	0	1	4	30	2	17	1	3
Ralstonia_solanacearum	7	7	3	1	1	4	5	3	6	1	2	3	2	1	2	18	3	3
Ralstonia_syzygii	4	1	0	1	0	2	0	1	0	0	0	0	0	1	0	1	0	0
Ralstonia_insidiosa	3	1	0	0	1	0	0	1	2	0	0	0	0	1	0	2	0	1
Ralstonia_mannitolilytica	3	4	0	6	2	3	5	1	6	0	0	0	0	1	0	5	0	4
Ralstonia_wenshanensis	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0
Ralstonia_pickettii	1	0	1	1	2	0	1	1	1	0	0	1	0	2	0	6	0	3
Pandoraea	26	13	4	25	22	10	13	8	13	4	3	10	2	8	8	43	9	13
Pandoraea_norimbergensis	5	0	0	1	3	1	0	0	4	1	2	0	1	0	1	1	0	1
Pandoraea_thiooxydans	4	0	0	3	3	0	0	2	2	1	0	1	0	0	0	12	2	1
Pandoraea_faecigallinarum	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Pandoraea_sputorum	4	0	0	6	1	0	1	0	0	0	0	1	0	0	0	3	0	1
Pandoraea_pulmonicola	3	2	1	2	1	1	2	0	3	0	0	2	0	1	0	5	1	3
Pandoraea_vervacti	2	0	2	0	1	0	1	0	2	0	0	1	0	1	0	1	0	0
Pandoraea_apista	2	0	2	2	2	1	0	2	0	0	0	0	1	0	0	1	1	0
Pandoraea_fibrosis	1	0	1	1	1	0	2	1	1	0	2	0	0	1	0	1	4	0
Caballeronia	13	5	3	19	9	7	7	10	9	2	1	2	7	6	5	18	3	7
unclassified_Caballeronia	12	1	2	21	7	8	6	7	9	0	0	1	3	4	1	11	1	8
Caballeronia_sp._TF1N1	1	1	0	0	1	1	3	3	2	1	0	1	0	3	0	4	2	0
Caballeronia_sp._Sq4a	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0
Caballeronia_sp._SL2Y3	2	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0
Caballeronia_sp._M1242	2	2	0	0	4	1	0	0	0	0	0	0	3	1	1	5	0	0
Caballeronia_sp._NK8	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2
Caballeronia_zhejiangensis	1	0	1	1	0	0	1	3	0	1	1	0	0	0	1	0	0	0
Polynucleobacter	7	13	11	15	22	11	10	16	15	25	11	14	7	8	17	40	6	30
unclassified_Polynucleobacter	3	10	13	10	17	5	6	11	15	10	7	9	1	10	7	31	6	22
Polynucleobacter_sp._MWH-Svant-W18	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter_paneuropaeus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Polynucleobacter_paludilacus	1	0	0	0	0	0	0	3	0	4	0	0	0	0	2	0	0	0
Robbsia	5	0	0	3	1	1	0	0	1	0	0	0	0	0	0	4	0	0
Robbsia_andropogonis	5	0	0	2	3	2	0	0	1	0	0	2	0	0	0	4	0	0
Trinickia	3	0	1	1	0	7	0	0	4	0	0	4	0	0	1	3	0	1
Trinickia_violacea	3	0	0	2	1	6	0	0	3	0	0	3	0	0	1	1	1	1
Mycetohabitans	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0
Mycetohabitans_rhizoxinica	1	1	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0
Mycoavidus	1	2	1	0	1	1	0	0	0	1	0	3	0	0	0	1	2	1
Mycoavidus_cysteinexigens	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonadaceae	521	1061	256	356	257	309	387	170	3278	166	61	306	234	346	244	3370	561	218
Comamonas	75	38	13	33	34	26	15	19	35	16	7	23	24	53	36	145	113	24
Comamonas_testosteroni	25	5	0	4	4	1	0	11	6	2	5	1	4	6	5	37	5	8
unclassified_Comamonas	11	7	6	7	7	6	6	2	7	6	0	9	3	13	7	28	84	5
Comamonas_sp._B21-038	6	2	0	1	1	1	0	0	1	0	0	0	1	2	1	5	88	0
Comamonas_sp._NLF-1-9	4	1	0	0	2	1	0	2	0	0	0	1	2	0	0	7	0	2
Comamonas_sp._Y33R10-2	1	0	1	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0
Comamonas_aquatica	11	9	0	6	2	3	0	5	10	2	1	0	7	7	7	30	0	6
Comamonas_antarctica	8	1	0	0	3	1	0	1	0	1	0	0	0	3	2	14	3	2
Comamonas_serinivorans	5	5	1	3	1	1	2	0	1	0	0	1	0	0	1	8	0	1
Comamonas_terrigena	4	0	1	3	1	0	0	1	0	1	0	1	1	0	5	8	0	0
Comamonas_thiooxydans	5	7	0	3	3	1	2	0	2	0	0	1	1	6	0	17	0	2
Comamonas_piscis	2	3	2	2	3	0	1	2	0	0	0	2	0	1	0	1	3	0
Comamonas_kerstersii	1	0	0	3	1	0	1	0	5	0	0	0	1	1	1	2	0	0
Variovorax	75	22	6	42	25	35	36	15	48	11	8	14	14	20	30	88	9	22
unclassified_Variovorax	46	14	6	17	18	23	16	7	28	9	4	9	6	14	18	56	2	13
Variovorax_sp._38R	7	1	0	0	2	1	0	0	1	0	0	0	1	4	1	7	0	2
Variovorax_sp._PAMC_28711	4	2	0	4	5	0	2	0	3	1	0	1	1	1	1	5	0	0
Variovorax_sp._PBL-E5	6	0	1	6	0	1	0	2	3	1	0	0	0	1	0	4	0	0
Variovorax_sp._PBS-H4	5	1	0	5	4	2	1	1	3	0	0	1	1	2	0	6	0	1
Variovorax_sp._PAMC28562	2	0	2	1	0	0	1	0	0	0	0	0	0	3	1	2	0	0
Variovorax_sp._RA8	2	2	1	0	2	1	2	1	2	0	1	3	1	0	2	0	0	1
Variovorax_sp._PBL-H6	2	0	0	6	6	0	0	0	1	1	0	1	0	0	2	2	0	3
Variovorax_sp._PMC12	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax_sp._RKNM96	1	1	0	0	0	3	0	0	1	0	1	0	0	0	1	2	0	0
Variovorax_sp._PAMC26660	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Variovorax_paradoxus	24	7	4	15	10	8	13	6	15	5	3	11	10	5	5	32	3	7
Variovorax_boronicumulans	4	1	0	3	0	1	0	4	1	1	0	1	2	0	0	6	0	0
Hydrogenophaga	61	18	5	23	13	21	15	3	34	10	2	14	10	10	17	67	3	9
unclassified_Hydrogenophaga	38	10	5	16	11	6	14	1	24	6	0	8	7	11	6	39	3	6
Hydrogenophaga_sp._SL48	8	1	0	2	2	2	3	0	0	2	1	1	1	0	1	3	0	2
Hydrogenophaga_sp._SNF1	10	4	0	0	2	0	0	0	5	0	0	0	1	0	1	4	0	1
Hydrogenophaga_sp._PAMC20947	3	0	1	1	0	1	1	0	3	0	0	1	1	2	0	2	0	0
Hydrogenophaga_sp._PBC	3	2	1	0	3	2	0	1	0	1	0	0	3	0	1	5	0	1
Hydrogenophaga_sp._BPS33	2	2	0	2	1	1	2	0	1	0	0	1	0	0	1	11	0	0
Hydrogenophaga_sp._NH-16	4	2	2	5	3	0	0	0	4	0	0	1	0	2	0	6	0	0
Hydrogenophaga_sp._PBL-H3	2	2	2	3	0	2	1	0	6	0	0	0	1	0	0	4	0	3
Hydrogenophaga_sp._YM1	1	1	0	2	0	1	3	0	1	3	0	0	1	2	1	1	0	0
Hydrogenophaga_sp._RAC07	1	0	1	0	2	1	0	0	0	1	0	0	0	0	0	3	0	2
environmental_samples.2	7	0	0	7	2	4	0	0	6	2	0	7	0	0	1	5	0	0
uncultured_Hydrogenophaga_sp.	7	0	0	6	0	3	2	0	6	2	0	5	0	1	0	6	1	0
Hydrogenophaga_taeniospiralis	6	4	0	2	2	4	0	1	3	2	0	0	5	0	0	4	0	2
Hydrogenophaga_crassostreae	3	1	0	0	2	1	0	0	3	0	1	0	0	0	1	1	0	0
Hydrogenophaga_pseudoflava	4	1	0	1	2	0	0	1	1	0	0	1	0	0	2	3	0	0
Hydrogenophaga_crocea	1	1	1	0	1	0	0	0	5	0	0	1	1	0	0	8	0	0
Ottowia	54	863	176	9	14	14	185	58	2784	11	6	133	15	49	29	2551	365	20
unclassified_Ottowia	45	841	166	4	19	8	180	57	2832	8	5	143	11	35	20	2529	333	24
Ottowia_sp._oral_taxon_894	43	860	158	5	12	3	168	47	2816	7	4	136	13	20	6	2616	343	16
Ottowia_sp._SB7-C50	1	0	0	0	5	2	1	15	3	3	0	1	1	26	16	14	0	3
Ottowia_testudinis	7	3	1	7	4	3	3	0	6	2	0	2	5	1	2	13	1	0
Ottowia_oryzae	2	0	2	0	0	0	0	0	1	1	1	0	3	3	0	7	0	1
Delftia	48	45	25	62	36	76	28	23	105	36	31	36	126	51	43	86	26	77
unclassified_Delftia	18	14	0	28	16	12	0	0	80	1	0	0	1	0	0	6	0	0
