"name"	"taxRank"	"taxID"	"Max"	"SL021_caries_fre.cladeReads"	"SL036_caries_activ.cladeReads"	"SL037_caries_activ.cladeReads"	"SL038_caries_activ.cladeReads"	"SL048_caries_activ.cladeReads"	"SL050_caries_activ.cladeReads"	"SL068_caries_activ.cladeReads"	"SL085_caries_fre.cladeReads"	"SL086_caries_fre.cladeReads"	"SL088_caries_fre.cladeReads"	"SL090_caries_fre.cladeReads"	"SL103_caries_fre.cladeReads"	"SL111_caries_activ.cladeReads"	"SL112_caries_fre.cladeReads"	"SL114_caries_fre.cladeReads"	"SL118_caries_activ.cladeReads"	"SL125_caries_fre.cladeReads"	"SL200_caries_activ.cladeReads"	"lineage"
"Thermaerobacter"	"G"	73918	964	239	396	7	745	172	680	314	46	964	189	NA	3	7	3	1	13	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis"
"unclassified Thermaerobacter"	"-"	2619059	858	211	349	5	670	146	603	281	44	858	168	NA	NA	2	3	NA	3	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis>Thermaerobacter"
"Thermaerobacter sp. PB12/4term"	"S"	2293838	771	195	315	5	605	131	555	248	39	771	149	NA	NA	2	3	NA	3	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis>Thermaerobacter>unclassified&nbsp;Thermaerobacter"
"Thermaerobacter sp. FW80"	"S"	2546351	86	15	33	NA	64	15	47	32	4	86	19	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis>Thermaerobacter>unclassified&nbsp;Thermaerobacter"
"Thermaerobacter composti"	"S"	554949	58	16	25	NA	41	10	46	15	NA	58	4	NA	1	3	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis>Thermaerobacter"
"Thermaerobacter marianensis"	"S"	73919	48	12	22	1	34	15	30	18	2	48	16	NA	1	2	NA	1	9	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVII.&nbsp;Incertae&nbsp;Sedis>Thermaerobacter"
"Eubacteriales Family XIII. Incertae Sedis"	"F"	543314	478	21	45	200	67	225	52	298	196	48	80	150	319	282	478	92	189	86	158	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Mogibacterium"	"G"	86331	454	20	33	180	50	196	47	279	171	40	68	149	299	245	454	78	165	74	143	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis"
"Mogibacterium diversum"	"S"	114527	256	9	15	79	34	130	39	200	119	21	41	104	256	193	220	62	67	23	69	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Mogibacterium"
"Mogibacterium pumilum"	"S"	86332	179	10	8	53	10	23	4	37	31	13	9	8	21	33	179	9	47	35	52	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Mogibacterium"
"Aminipila"	"G"	2060094	19	1	9	17	11	19	3	16	17	8	12	1	16	17	19	12	16	10	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis"
"Aminipila terrae"	"S"	2697030	13	1	4	8	9	9	1	10	9	7	7	NA	13	6	4	3	8	2	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Eubacteriales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>Aminipila"
"Flintibacter"	"G"	1918454	8	3	3	4	2	3	NA	4	4	4	NA	NA	8	1	NA	1	7	1	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"unclassified Flintibacter"	"-"	2610894	8	3	3	4	2	3	NA	4	4	4	NA	NA	8	1	NA	1	7	1	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Flintibacter"
"Flintibacter sp. KGMB00164"	"S"	2610895	8	3	3	4	2	3	NA	4	4	4	NA	NA	8	1	NA	1	7	1	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Flintibacter>unclassified&nbsp;Flintibacter"
"Fenollaria"	"G"	1686313	44	2	8	15	12	22	2	13	26	8	19	9	44	23	26	10	34	20	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Fenollaria massiliensis"	"S"	938288	15	2	1	1	3	4	1	12	7	1	9	3	15	11	7	7	14	6	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Fenollaria"
"Proteiniborus"	"G"	415014	11	1	NA	7	2	11	NA	3	10	2	3	2	5	3	8	NA	5	2	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"unclassified Proteiniborus"	"-"	2622907	11	1	NA	7	2	11	NA	3	10	2	3	2	5	3	8	NA	5	2	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Proteiniborus"
"Proteiniborus sp. MB09-C3"	"S"	3050072	11	1	NA	7	2	11	NA	3	10	2	3	2	5	3	8	NA	5	2	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Proteiniborus>unclassified&nbsp;Proteiniborus"
"Clostridiales Family XVI. Incertae Sedis"	"F"	543347	4	1	1	NA	1	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	2	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Carboxydocella"	"G"	178898	4	1	1	NA	1	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	2	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVI.&nbsp;Incertae&nbsp;Sedis"
"Carboxydocella thermautotrophica"	"S"	178899	4	1	1	NA	1	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	2	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XVI.&nbsp;Incertae&nbsp;Sedis>Carboxydocella"
"Clostridiaceae"	"F"	31979	1516	158	525	1376	804	1516	241	421	897	583	456	307	878	454	701	240	1231	351	846	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales"
"Clostridium"	"G"	1485	1210	132	399	1112	672	1210	182	329	751	464	390	264	700	362	542	188	1012	297	661	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"unclassified Clostridium"	"-"	2614128	431	27	111	306	240	431	55	121	226	182	83	73	162	158	208	70	303	79	204	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium sp. JN-1"	"S"	2483110	15	5	7	13	1	7	3	1	1	1	10	2	13	2	6	3	15	1	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. MB40-C1"	"S"	3070996	22	4	6	19	15	22	NA	13	22	3	3	5	8	2	16	5	12	NA	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. C1"	"S"	1155388	13	3	7	13	5	7	4	3	10	6	8	3	10	5	5	3	6	6	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. M62/1"	"S"	411486	91	6	29	66	59	87	9	26	41	13	7	30	63	91	65	38	40	37	52	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. MD294"	"S"	97138	28	2	7	21	11	27	5	10	11	11	5	1	3	4	8	2	7	1	28	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. BJN0001"	"S"	2930219	35	2	7	17	22	35	7	8	14	31	7	3	8	4	5	1	20	4	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. JS66"	"S"	3064705	11	1	NA	4	5	NA	1	NA	2	3	2	1	3	1	2	NA	4	NA	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. SY8519"	"S"	1042156	17	1	4	3	6	17	4	3	2	NA	4	5	3	8	10	3	6	1	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium sp. DL-VIII"	"S"	641107	21	1	6	20	7	21	1	7	10	7	8	NA	11	2	15	3	16	5	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium>unclassified&nbsp;Clostridium"
"Clostridium estertheticum"	"S"	238834	47	10	14	47	35	34	11	13	19	19	8	5	19	7	18	NA	35	11	21	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium botulinum"	"S"	1491	88	12	28	71	21	88	9	19	53	25	46	41	50	30	30	14	73	19	43	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium perfringens"	"S"	1502	136	14	23	136	48	59	9	9	28	18	23	35	33	29	31	27	58	16	44	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium saccharobutylicum"	"S"	169679	28	7	7	24	7	28	2	4	18	9	4	1	11	7	5	5	20	6	10	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium beijerinckii"	"S"	1520	67	7	22	24	41	67	13	21	41	10	11	3	24	4	24	6	66	3	27	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium argentinense"	"S"	29341	17	5	5	16	5	15	NA	3	10	17	6	1	10	5	4	2	9	3	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium tetani"	"S"	1513	22	3	2	14	3	17	2	5	12	6	11	18	8	4	4	NA	22	3	10	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium thermarum"	"S"	1716543	21	3	4	4	7	21	1	NA	4	5	4	NA	13	5	9	NA	15	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium cadaveris"	"S"	1529	15	3	3	5	12	11	3	2	15	2	11	4	3	4	5	1	14	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium bornimense"	"S"	1216932	45	3	7	44	14	45	4	11	14	43	10	2	14	5	2	1	23	5	16	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium baratii"	"S"	1561	28	3	5	17	22	24	8	8	16	8	11	2	10	3	14	2	28	NA	18	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium saccharoperbutylacetonicum"	"S"	36745	21	3	17	21	13	11	2	9	9	8	6	6	4	6	6	4	10	2	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium acetobutylicum"	"S"	1488	13	3	4	13	4	8	NA	8	3	1	2	3	10	7	8	2	10	7	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium chauvoei"	"S"	46867	19	2	3	13	5	16	5	1	12	5	7	7	9	6	6	4	19	3	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium cellulovorans"	"S"	1493	13	2	1	13	4	11	1	4	5	NA	6	5	6	1	8	1	8	12	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium pasteurianum"	"S"	1501	38	2	9	36	20	38	8	5	30	12	5	3	12	6	7	3	35	10	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium carboxidivorans"	"S"	217159	9	2	5	5	3	9	NA	1	3	5	1	1	4	NA	2	NA	9	2	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium taeniosporum"	"S"	394958	24	2	4	24	8	19	1	1	21	4	3	4	11	6	1	NA	14	2	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium sporogenes"	"S"	1509	31	3	4	31	6	29	3	6	27	7	18	6	20	5	17	3	31	18	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium kluyveri"	"S"	1534	18	1	13	9	8	17	5	3	4	1	5	3	18	4	7	2	13	12	13	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium scatologenes"	"S"	1548	6	1	4	1	NA	3	2	2	3	1	6	NA	6	6	2	NA	5	2	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium septicum"	"S"	1504	22	1	3	22	12	14	5	6	14	7	6	3	6	5	5	1	8	4	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium felsineum"	"S"	36839	32	1	7	22	7	32	3	7	18	7	10	3	2	2	18	1	14	9	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium cochlearium"	"S"	1494	30	1	2	6	30	5	1	2	3	6	2	1	2	3	1	1	5	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium gasigenes"	"S"	94869	16	1	3	16	11	10	3	2	5	4	5	NA	13	4	6	2	14	3	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium intestinale"	"S"	36845	23	1	6	18	6	11	NA	7	7	2	4	1	16	3	23	2	20	6	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium manihotivorum"	"S"	2320868	11	1	6	4	5	8	NA	3	6	3	7	3	10	NA	11	3	8	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium fermenticellae"	"S"	2068654	9	1	4	9	9	2	1	1	5	1	NA	1	4	4	3	1	3	1	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium isatidis"	"S"	182773	16	1	8	12	7	7	1	7	16	5	2	7	5	2	2	4	8	5	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Clostridium gelidum"	"S"	704125	27	1	8	17	10	27	4	3	14	2	8	1	17	4	14	3	21	4	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Clostridium"
"Caminicella"	"G"	166484	14	7	6	12	9	9	5	5	11	10	4	2	14	2	4	2	8	4	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Caminicella sporogenes"	"S"	166485	14	7	6	12	9	9	5	5	11	10	4	2	14	2	4	2	8	4	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Caminicella"
"Crassaminicella"	"G"	1848399	38	4	21	38	20	30	1	15	38	11	12	11	23	18	17	9	28	3	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Crassaminicella profunda"	"S"	1286698	16	2	4	9	4	12	1	9	11	4	5	7	8	4	12	5	16	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Crassaminicella"
"Crassaminicella indica"	"S"	2855394	17	1	8	16	11	6	NA	3	17	3	3	3	6	3	2	3	2	NA	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Crassaminicella"
"Crassaminicella thermophila"	"S"	2599308	17	1	8	13	4	11	NA	3	10	4	3	1	9	10	3	NA	9	3	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Crassaminicella"
"Sarcina"	"G"	1266	15	3	9	10	6	10	7	3	1	8	6	NA	15	NA	6	6	7	1	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"unclassified Sarcina"	"-"	2619470	15	3	9	10	6	10	7	3	1	8	6	NA	15	NA	6	6	7	1	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Sarcina"
"Sarcina sp. JB2"	"S"	2726954	15	3	9	10	6	10	7	3	1	8	6	NA	15	NA	6	6	7	1	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Sarcina>unclassified&nbsp;Sarcina"
"Hungatella"	"G"	1649459	67	3	30	51	16	67	13	23	26	14	6	10	28	26	49	10	40	21	43	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Hungatella xylanolytica"	"S"	384636	27	2	8	19	4	24	5	8	10	8	1	5	10	8	27	5	12	10	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Hungatella"
"Hungatella hathewayi"	"S"	154046	43	1	22	32	12	43	8	15	16	6	5	5	18	18	22	5	28	11	34	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Hungatella"
"Alkaliphilus"	"G"	114627	28	2	25	19	15	17	6	9	11	8	8	5	22	17	13	4	11	2	28	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"unclassified Alkaliphilus"	"-"	2646756	17	1	17	12	8	9	1	3	3	4	4	4	13	5	6	2	7	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Alkaliphilus"
"Alkaliphilus sp. B6464"	"S"	2731219	17	1	17	12	8	9	1	3	3	4	4	4	13	5	6	2	7	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Alkaliphilus>unclassified&nbsp;Alkaliphilus"
"Alkaliphilus oremlandii"	"S"	461876	7	1	3	6	7	5	5	5	3	1	1	NA	6	7	4	NA	4	1	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Alkaliphilus"
"Serpentinicella"	"G"	1890059	9	2	3	3	9	6	2	2	4	4	8	3	2	NA	2	1	5	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Serpentinicella alkaliphila"	"S"	1734049	9	2	3	3	9	6	2	2	4	4	8	3	2	NA	2	1	5	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Serpentinicella"
"Paraclostridium"	"G"	1849822	32	1	4	23	4	32	3	6	9	11	4	4	11	2	21	3	22	6	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Paraclostridium bifermentans"	"S"	1490	32	1	4	23	4	32	3	6	9	11	4	4	11	2	21	3	22	6	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Paraclostridium"
"Caloramator"	"G"	44258	63	1	14	45	20	63	12	10	13	16	5	6	25	8	19	5	39	6	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"unclassified Caloramator"	"-"	2629145	63	1	14	45	20	63	12	10	13	16	5	6	25	8	19	5	39	6	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Caloramator"
"Caloramator sp. E03"	"S"	2576307	31	1	3	5	4	31	3	5	3	6	1	3	10	2	8	NA	10	3	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Caloramator>unclassified&nbsp;Caloramator"
"Oceanirhabdus"	"G"	1434026	29	1	1	16	7	29	2	3	9	12	1	1	12	2	6	6	22	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"unclassified Oceanirhabdus"	"-"	2675010	29	1	1	16	7	29	2	3	9	12	1	1	12	2	6	6	22	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Oceanirhabdus"
"Oceanirhabdus sp. W0125-5"	"S"	2999116	29	1	1	16	7	29	2	3	9	12	1	1	12	2	6	6	22	1	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Oceanirhabdus>unclassified&nbsp;Oceanirhabdus"
"Geosporobacter"	"G"	390805	11	1	NA	4	6	8	5	3	8	1	5	NA	3	3	5	1	11	2	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Geosporobacter ferrireducens"	"S"	1424294	11	1	NA	4	6	8	5	3	8	1	5	NA	3	3	5	1	11	2	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Clostridiaceae>Geosporobacter"
"Oscillospiraceae"	"F"	216572	871	58	323	558	305	871	176	233	343	292	182	250	534	251	705	117	365	126	427	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales"
